X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,36.5,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,t,574726,6276223,587
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,21.5,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,t,574726,6276223,588
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,14.9,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,t,574726,6276223,589
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,19,ug.m-3,journaliere,2023/08/28 00:00:00+00,2023/08/28 23:59:00+00,t,574726,6276223,590
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,22.4,ug.m-3,journaliere,2023/08/29 00:00:00+00,2023/08/29 23:59:00+00,t,574726,6276223,591
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,f,572027,6280312,640
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,f,572027,6280312,641
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,f,572027,6280312,642
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,f,572027,6280312,643
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,f,572027,6280312,644
