X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.37531,44.0129,TARN-ET-GARONNE,MONTAUBAN,82121,Montauban - Ramierou Urbain,FR50060,Urbaine,Fond,PM2.5,6001,6.2,ug.m-3,mensuelle,2023/07/01 00:00:00+00,2023/07/31 23:59:00+00,t,569728,6325102,727
4.67969,43.9429,GARD,SAZE,30315,Saze - rural,FR50216,Rurale proche Zone Urbaine,Industrielle,O3,7,62.4,ug.m-3,mensuelle,2023/03/01 00:00:00+00,2023/03/31 23:59:00+00,t,834846,6317423,728
1.37531,44.0129,TARN-ET-GARONNE,MONTAUBAN,82121,Montauban - Ramierou Urbain,FR50060,Urbaine,Fond,PM2.5,6001,6.8,ug.m-3,mensuelle,2023/08/01 00:00:00+00,2023/08/31 23:59:00+00,t,569728,6325102,729
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,10.9,ug.m-3,mensuelle,2022/10/01 00:00:00+00,2022/10/31 23:59:00+00,t,810536,6304894,730
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,8,ug.m-3,mensuelle,2022/11/01 00:00:00+00,2022/11/30 23:59:00+00,t,810536,6304894,731
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,12.2,ug.m-3,mensuelle,2022/12/01 00:00:00+00,2022/12/31 23:59:00+00,t,810536,6304894,732
4.26581,43.9254,GARD,LA CALMETTE,30061,La Calmette - Périurbain,FR50213,Périurbaine,Fond,O3,7,79.6,ug.m-3,mensuelle,2022/08/01 00:00:00+00,2022/08/31 23:59:00+00,t,801654,6314859,733
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM10,5,14.5,ug.m-3,mensuelle,2023/08/01 00:00:00+00,2023/08/31 23:59:00+00,t,574306,6277713,734
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM10,5,12.9,ug.m-3,mensuelle,2023/09/01 00:00:00+00,2023/09/30 23:59:00+00,t,574306,6277713,735
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM10,5,14.4,ug.m-3,mensuelle,2023/10/01 00:00:00+00,2023/10/31 23:59:00+00,t,574306,6277713,736
0.59467,43.6511,GERS,AUCH,32013,AUCH ST EXUPERY,FR50833,Urbaine,Fond,PM10,5,,ug.m-3,mensuelle,2022/10/01 00:00:00+00,2022/10/31 23:59:00+00,f,505927,6286516,737
0.59467,43.6511,GERS,AUCH,32013,AUCH ST EXUPERY,FR50833,Urbaine,Fond,PM10,5,,ug.m-3,mensuelle,2022/11/01 00:00:00+00,2022/11/30 23:59:00+00,f,505927,6286516,738
0.59467,43.6511,GERS,AUCH,32013,AUCH ST EXUPERY,FR50833,Urbaine,Fond,PM10,5,17.7,ug.m-3,mensuelle,2022/12/01 00:00:00+00,2022/12/31 23:59:00+00,t,505927,6286516,739
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,10.2,ug.m-3,mensuelle,2023/01/01 00:00:00+00,2023/01/31 23:59:00+00,t,810536,6304894,740
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,16.9,ug.m-3,mensuelle,2023/02/01 00:00:00+00,2023/02/28 23:59:00+00,t,810536,6304894,741
3.86472,43.6117,HERAULT,MONTPELLIER,34172,Montpellier - Chaptal Urbain,FR50201,Urbaine,Fond,NO,38,8.6,ug.m-3,mensuelle,2022/11/01 00:00:00+00,2022/11/30 23:59:00+00,t,769827,6279565,742
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,O3,7,85.3,ug.m-3,mensuelle,2022/08/01 00:00:00+00,2022/08/31 23:59:00+00,t,810536,6304894,743
0.59467,43.6511,GERS,AUCH,32013,AUCH ST EXUPERY,FR50833,Urbaine,Fond,PM10,5,,ug.m-3,mensuelle,2022/09/01 00:00:00+00,2022/09/30 23:59:00+00,f,505927,6286516,744
3.80082,43.6954,HERAULT,SAINT-GELY-DU-FESC,34255,Montpellier Nord - Périurbain,FR50204,Périurbaine,Fond,O3,7,87.5,ug.m-3,mensuelle,2022/08/01 00:00:00+00,2022/08/31 23:59:00+00,t,764573,6288813,745
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,10,ug.m-3,mensuelle,2023/03/01 00:00:00+00,2023/03/31 23:59:00+00,t,810536,6304894,746
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,4,ug.m-3,mensuelle,2023/04/01 00:00:00+00,2023/04/30 23:59:00+00,t,810536,6304894,747
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,5.7,ug.m-3,mensuelle,2023/05/01 00:00:00+00,2023/05/31 23:59:00+00,t,810536,6304894,748
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,7.7,ug.m-3,mensuelle,2023/06/01 00:00:00+00,2023/06/30 23:59:00+00,t,810536,6304894,749
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - Urbain,FR50211,Urbaine,Fond,PM2.5,6001,6.6,ug.m-3,mensuelle,2023/07/01 00:00:00+00,2023/07/31 23:59:00+00,t,810536,6304894,750
3.82806,43.6116,HERAULT,MONTPELLIER,34172,Montpellier Liberte Trafic,FR50225,Urbaine,Trafic,PM10,5,17.8,ug.m-3,mensuelle,2023/08/01 00:00:00+00,2023/08/31 23:59:00+00,t,766867,6279519,751
3.82806,43.6116,HERAULT,MONTPELLIER,34172,Montpellier Liberte Trafic,FR50225,Urbaine,Trafic,PM10,5,19,ug.m-3,mensuelle,2023/09/01 00:00:00+00,2023/09/30 23:59:00+00,t,766867,6279519,752
3.82806,43.6116,HERAULT,MONTPELLIER,34172,Montpellier Liberte Trafic,FR50225,Urbaine,Trafic,PM10,5,,ug.m-3,mensuelle,2023/10/01 00:00:00+00,2023/10/31 23:59:00+00,f,766867,6279519,753
